"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 16 16:58:24 MSK 2026","Thu Apr 16 16:58:24 MSK 2026","355","","praktikum.tests.OrderCreateTest","","praktikum.tests.OrderCreateTest","createOrderWithColors[Цвета: [BLACK, GREY]]","Создание заказа с разными вариантами цвета",""
"passed","Thu Apr 16 16:58:19 MSK 2026","Thu Apr 16 16:58:20 MSK 2026","553","","praktikum.tests.CourierLoginTest","","praktikum.tests.CourierLoginTest","loginSuccess","Успешный логин курьера",""
"passed","Thu Apr 16 16:58:17 MSK 2026","Thu Apr 16 16:58:17 MSK 2026","123","","praktikum.tests.CourierCreateTest","","praktikum.tests.CourierCreateTest","createCourierWithoutLoginFails","Создание курьера без логина возвращает ошибку",""
"skipped","Thu Apr 16 16:58:19 MSK 2026","Thu Apr 16 16:58:19 MSK 2026","0","","praktikum.tests.CourierLoginTest","","praktikum.tests.CourierLoginTest","loginWithoutPassword","Логин без пароля",""
"passed","Thu Apr 16 16:58:23 MSK 2026","Thu Apr 16 16:58:23 MSK 2026","340","","praktikum.tests.OrderCreateTest","","praktikum.tests.OrderCreateTest","createOrderWithColors[Цвета: [BLACK]]","Создание заказа с разными вариантами цвета",""
"passed","Thu Apr 16 16:58:17 MSK 2026","Thu Apr 16 16:58:17 MSK 2026","443","","praktikum.tests.CourierCreateTest","","praktikum.tests.CourierCreateTest","createCourierSuccess","Успешное создание курьера",""
"passed","Thu Apr 16 16:58:25 MSK 2026","Thu Apr 16 16:58:25 MSK 2026","540","","praktikum.tests.OrderGetByNumberTest","","praktikum.tests.OrderGetByNumberTest","getOrderWithoutTrack","Запрос без трека",""
"passed","Thu Apr 16 16:58:18 MSK 2026","Thu Apr 16 16:58:18 MSK 2026","117","","praktikum.tests.CourierDeleteTest","","praktikum.tests.CourierDeleteTest","deleteWithoutId","Удаление курьера без id",""
"passed","Thu Apr 16 16:58:21 MSK 2026","Thu Apr 16 16:58:22 MSK 2026","1139","","praktikum.tests.OrderAcceptTest","","praktikum.tests.OrderAcceptTest","acceptOrderWithoutCourierId","Принятие заказа без courierId",""
"passed","Thu Apr 16 16:58:20 MSK 2026","Thu Apr 16 16:58:21 MSK 2026","1045","","praktikum.tests.OrderAcceptTest","","praktikum.tests.OrderAcceptTest","acceptOrderWrongNumber","Принятие заказа с неверным номером",""
"passed","Thu Apr 16 16:58:25 MSK 2026","Thu Apr 16 16:58:26 MSK 2026","528","","praktikum.tests.OrderGetByNumberTest","","praktikum.tests.OrderGetByNumberTest","getOrderByValidTrack","Получение заказа по существующему треку",""
"passed","Thu Apr 16 16:58:26 MSK 2026","Thu Apr 16 16:58:39 MSK 2026","13287","","praktikum.tests.OrderListTest","","praktikum.tests.OrderListTest","getOrdersListReturnsArray","Получение списка заказов возвращает массив",""
"passed","Thu Apr 16 16:58:17 MSK 2026","Thu Apr 16 16:58:18 MSK 2026","449","","praktikum.tests.CourierDeleteTest","","praktikum.tests.CourierDeleteTest","deleteCourierSuccess","Успешное удаление курьера",""
"passed","Thu Apr 16 16:58:17 MSK 2026","Thu Apr 16 16:58:17 MSK 2026","164","","praktikum.tests.CourierDeleteTest","","praktikum.tests.CourierDeleteTest","deleteNonExistent","Удаление несуществующего курьера",""
"passed","Thu Apr 16 16:58:19 MSK 2026","Thu Apr 16 16:58:19 MSK 2026","567","","praktikum.tests.CourierLoginTest","","praktikum.tests.CourierLoginTest","loginWrongLogin","Логин с неверным логином",""
"passed","Thu Apr 16 16:58:14 MSK 2026","Thu Apr 16 16:58:16 MSK 2026","2415","","praktikum.tests.CourierCreateTest","","praktikum.tests.CourierCreateTest","createCourierWithoutPasswordFails","Создание курьера без пароля возвращает ошибку",""
"passed","Thu Apr 16 16:58:24 MSK 2026","Thu Apr 16 16:58:24 MSK 2026","378","","praktikum.tests.OrderCreateTest","","praktikum.tests.OrderCreateTest","createOrderWithColors[Цвета: []]","Создание заказа с разными вариантами цвета",""
"passed","Thu Apr 16 16:58:16 MSK 2026","Thu Apr 16 16:58:17 MSK 2026","727","","praktikum.tests.CourierCreateTest","","praktikum.tests.CourierCreateTest","createDuplicateCourierFails","Нельзя создать двух одинаковых курьеров",""
"passed","Thu Apr 16 16:58:18 MSK 2026","Thu Apr 16 16:58:19 MSK 2026","597","","praktikum.tests.CourierLoginTest","","praktikum.tests.CourierLoginTest","loginWrongPassword","Логин с неверным паролем",""
"passed","Thu Apr 16 16:58:23 MSK 2026","Thu Apr 16 16:58:24 MSK 2026","349","","praktikum.tests.OrderCreateTest","","praktikum.tests.OrderCreateTest","createOrderWithColors[Цвета: [GREY]]","Создание заказа с разными вариантами цвета",""
"passed","Thu Apr 16 16:58:24 MSK 2026","Thu Apr 16 16:58:25 MSK 2026","534","","praktikum.tests.OrderGetByNumberTest","","praktikum.tests.OrderGetByNumberTest","getOrderByInvalidTrack","Несуществующий трек",""
"passed","Thu Apr 16 16:58:22 MSK 2026","Thu Apr 16 16:58:23 MSK 2026","920","","praktikum.tests.OrderAcceptTest","","praktikum.tests.OrderAcceptTest","acceptOrderSuccess","Успешное принятие заказа",""
